username,comment,comment_time,like_counts
la_红日微风,有用吗,昨天22:10,(0)
la_红日微风,加一,昨天22:10,(0)
在你的人间贩卖日落,是什么让这首歌如此美,昨天22:10,(1)
忉风辰翼,我的世界,昨天22:10,(0)
轨迹_cnuR,我本就不好 不怪任何人. 我那么喜欢你 你有珍惜过我吗. 嗯 无所谓了. 漂亮的眼睛 要留幸福的泪水. 我会假装无所谓 直到真的无所谓. 借了一时的幸福 要千倍的疼痛来偿还. 你只看见我的绝情 看不到我泛红的双眼.,昨天21:57,(2)
轨迹_cnuR,你心 怎么那么狠. 会哭到 喘不上气 像疯子一样. 翻一次聊天记录 哭一次. 人和人还是刚认识的好 热情又真诚. 彻底看清你的时候 你猜我有多绝望. 那天我没说什么 只是说了个嗯. 每一滴眼泪都在告诉我 这就是我心软的下场.,昨天21:56,(1)
轨迹_cnuR,想和好了 我也想你了. 心软是把刀 借给别人捅自己. 或许 也怪我的无理取闹. 我不是妥协了 我是痛不下去了. 我不敢在你面前提爱 我害怕失败. 把你当小孩惯着 直到你彻底不需要我. 痛到窒息 就是你给过我最刻骨铭心的礼物.,昨天21:56,(1)
轨迹_cnuR,喜欢 但未必合适. 我没本事 我只会流泪. 及时止损 即使我舍不得. 忽冷忽热 早已心灰意冷. 紧紧相依的心也会say goodbye. 别逼走那个正在好好爱你的人 好吗. 相我在短暂的时间里我彻底爱上了你了.,昨天21:55,(1)
晨xfg,每个人都有自己的理解,昨天21:55,(0)
毂輔,minecraft,昨天21:54,(0)
晨xfg,写给明年的自己，高考加油，厦大等我,昨天21:54,(3)
梦幻阿染,徒儿，谢谢你。我...好像...喜欢上了你......,昨天21:54,(1)
云村村民135638752898,听这首歌不落泪很难,昨天21:51,(2)
梦幻阿染,爱意随风起，风止意难平,昨天21:50,(2)
蒂蒂喊我起床,明日方舟,昨天21:49,(0)
idbhxh,“你总是明知故问，他们曾经是恋人，又怎么会不相爱”,昨天21:47,(3)
吹晚风的me,还有人在听吗，再听满满的回忆与意难平,昨天21:44,(2)
小震吃不饱,很想你,昨天21:43,(0)
云村村民163515814010791,接口有水，听完这歌是不是就能充电啦~,昨天21:41,(0)
阿陳_crlr,骑马与砍杀,昨天21:25,(0)
ZL2022X,我是下雨出去一趟回来苹果手机充电口显示有液体，充不进电翻了小红书戳进来听这首歌的，果然有效，哈哈,昨天21:24,(1)
王佳培_,继续走下去吧小孩 别害怕,昨天21:19,(1)
LOVE-FACK-YOU,初听还是纯情小学生，再听已是职高龙头,昨天20:50,(0)
LOVE-FACK-YOU,初听还是纯情小学生，再听已是职业,昨天20:49,(0)
LOVE-FACK-YOU,和平精英和mc，和平精英从刺激战场开始就一直玩，mc说起来你们可能不信我三岁就开始玩了，但是后来因为学业问题一年玩几次,昨天20:48,(0)
-落魄_520,我不是火箭小子 也飞不进你的“芯”里.,昨天20:46,(2)
绝情的A,为什么不试试 把最爱的前任追回来呢,昨天20:44,(1)
今天也要加油哇happy,嘘 小声点 我在等2024年那批人,昨天20:39,(1)
动情的雨-z,祝成功,昨天20:20,(0)
秦茂哲他老公,巧了巧了,昨天20:19,(0)
表姐你好_,巧了,昨天20:13,(0)
辞lyx_ksqC,"一位女孩爬上长城，大喊:“伟大的祖国，我的母亲！”
突然一位男孩又补了一句:“伟大的祖国，我的丈母娘！”",昨天20:08,(3)
花间best,2025年高考我会成功！,昨天20:07,(3)
zo鱼,嘿嘿,昨天20:06,(0)
凛山雪,+1,昨天20:05,(0)
超高校级学渣,来了,昨天20:00,(0)
黑幻_R,10…10年了？,昨天19:46,(0)
你的温柔好似羽毛,火影忍者,昨天19:40,(0)
意识出逃任r,手机进水试一试,昨天19:35,(2)
何人龙,ROBLOX,昨天19:20,(0)
LAN-starry,又看见你了，还好,昨天19:10,(0)
ONE苏杨筹28个百元榜过梯度,"今天的烦恼,会在熄灯的以后全部都跑掉",昨天19:10,(0)
椿子yu,一定会哒,昨天19:00,(0)
把他当作整个宇宙,《天下贰》,昨天19:00,(0)
这是我的位子_不好意思,好久好久，不见,昨天18:49,(0)
待94,发码，我明天加你~,昨天18:44,(0)
迪奥之歌,火影，战双，我的世界,昨天18:42,(0)
随风而行kybkq,,昨天18:42,(1)
若云烟殇,可以啊,昨天18:42,(1)
amig鲸落,世界上健康的人那么多，多我一个怎么了,昨天18:41,(2)
云村村民16919850574872,来,昨天18:38,(0)
谱写你的存在,在异世界，你推也在看你的番。,昨天18:30,(2)
予以修,战双帕弥什,昨天18:27,(0)
柊宥宥,喜歡一個姓程的女孩[多多比耶],昨天18:20,(2)
faiiout,cfm,昨天18:13,(0)
重阳_清明,哇哦，小男娘哦[多多笑哭],昨天18:12,(1)
不要等失去了再回忆,听到这首歌的人以后一定会遇到一个真正爱你的人,昨天18:11,(2)
月下的孤客,不是我吹在座的各位父母都能长命百岁,昨天18:08,(3)
linlin_lOBE,巧了,昨天17:49,(1)
假的太真_qAfK,在捏🤏,昨天17:25,(0)
维尼-呢,球球大作战,昨天17:21,(0)
卐把你虚空給我,爱自己才是终身浪漫的开始[多多可怜],昨天17:21,(0)
微雨德尔,战双帕弥什,昨天17:15,(0)
小音不e了,巧了,昨天17:04,(0)
随风而行kybkq,……抛开这个评论的话，我与我一个喜欢的人认识5年了,昨天16:59,(0)
随风而行kybkq,没有想到吧,昨天16:57,(0)
随风而行kybkq,哈哈,昨天16:56,(1)
tokyohoul1,啊啊啊我也是,昨天16:53,(0)
-Reiji-,BA,昨天16:49,(0)
星落落_ivOd,还记得你和她认识多久了吗？,昨天16:48,(1)
risk_recover,本来有点感动这样的父母，看到男校崩不住了[多多捂脸]👌,昨天16:46,(1)
